bangla_speech,barishal_bangla_speech,chittagong_bangla_speech,mymensingh_bangla_speech,noakhali_bangla_speech,sylhet_bangla_speech
কিন্তু আজ পর্যন্ত আমার স্বামী আমাকে খোঁচা মেরে কথা বলেনি,তয় আইজগো পইরজন্ত মোর জামাই মোরে খোঁচা মাইররা কথা কয়নাই,মাগার আর জামাই আইজো পর্যন্ত খোচা নো মারে,কিন্তু আইজ পর্যন্ত আমার জামাই আমারে খোঁচা মেরে কথা কয়নাই,কিন্তু আইজ হইরজন্ত আর উনি আরে খোডা মারি কতা কয়নো,কিন্তু আইজ পর্যন্ত আমার জামাইয়ে আমারে খোঁচা মারিয়া মাতছে না
ভাবছি আপন লোক কি এমনই হয়?,ভাবতেয়াছি আফোন মানু কি এরহম হয়?,ভাবির দ্দে আফন লোক এরিম্মা ওদে নে?,ভাবসি আপন লোক কিতা এমনই হয়?,আই ভাবি আরি আপন লোক এরুম না নি অয়?,ভাবিয়ার নিজ ওর মানুষ ওউ ওলা ওইন নি?
আমার আপন লোক গুলোই এমন,মোর আফোন মানু গুলানই এরহম হয়,আর আফন লোক ইন এরিম্মা,আমার আপন লোক গুলাই এমন,আর আপন লোকগুলোই এরুম,আমার নিজ ওর মানুষ ওকল ওউ ওলাকান
আমার আর বাঁচতে ইচ্ছে করেনা জানেন,মোর আর বাঁচতে ইচ্ছা করেনা জানেন,তুই জানো নে আত্তুন আর বাচিবার ইচ্ছে নো গরে,আমার আর বাঁচতে ইচ্ছা করেনা জানেন,আর আর বাইচতে মন চায়না জানেন নি,আমার আর বাঁচতে ইচ্ছা করে না জানোইন নি
আমার প্রথম বিয়ে আমাকে জোর করে দেয়,মোর পরথোম বিয়া মোরে জোর কইররা দ্যায়,আমার ফইলদ্দা বিয়া জোর গরি দিয়ে,আমার প্রথম বিয়া আমারে জোর কইরা দেয়,আর প্রথম বিয়া আরে জোর করি দিছে,আমার ফয়লা বিয়া আমারে জোর করিয়া দিছে
সেখানে ছেলে অনেক কিপটা ছিলো আমি দুইবেলা ভাত খেতে পারতাম না,হেইহানে পোলা একছের কিপটা ছেলে মুই দুইবেলা ভাত খাইতে পারতাম না,ওইন্দির ফুয়া ইবা বেশি কিপটা আছিল দে আই দুবেলা ভাত খাইতো নো ফাইত্তাম,অইহানে ছেড়া মেলা কিপটা আসিল আমি দুইবেলা ভাত খাইতে পারতাম না,হিয়ানে হোলা একছের কিপটা আছিলো আই দুইবেলা ভাত খাইতে হাইরতাম না,"হনো ফুয়া বউত কিপটা আছিল, আমি দুইবেলা ভাত ওউ খাইতে ফারতাম না"
দ্বিতীয়  বিয়েতে আমি কল্পনার চেয়েও বেশি সুখী,দুইনাম্বার বিয়ায় মুই কল্পনার চাইয়াও সুখী,দ্বিতীয় বিয়াত ইবাই আই কল্পনার তুন বেশি সুখি,দ্বিতীয়  বিয়াতে আমি কল্পনার চেয়েও বেশি সুখী,দ্বিতীয় বিয়াত আই কল্পনার তুন ও বেশি সুখী,দুই নাম্বার বিয়াত আমি ভাবনার বাইরে সুখী আছি
এইগুলো দেখেও সবাই না দেখার ভান করে,এইয়া দ্যাইখাও হগলডি না দ্যাহার ভান করে,বেজ্ঞুনে  ইন দেহিয়েরেও নো দেখিবার  ভান গরে,এইগুলা দেইক্ষাও বেহেই না দেহার ভান করে,ইগিন দেই ও বেকে না দেনের ভান করে,ইতা দেখিয়াও হক্কলে না দেখার ভান করি থাকোইন
খোঁচা মারার মতো কথা আছেই যে আমার দুই বিয়ে,খোঁচা মারার নাহান কথা আছেই এউক্কা যে মোর দুজ্ঞা বিয়া,খোচা মারিবার মতো  হতা আছে দে আর দুই বিয়া,খোঁচা মারার মত কথা আসেই যে আমার দুই বিয়া,খোডা মারার মতন কতা আর ইয়ান ই আছে যে আর বিয়া দুগা,খোঁচা মারার মতো মাত আছেউ যে আমার দুইগু বিয়া
আমার সুখ দেখে আবার তাদের সহ্য হয়না,মোর সুখ দ্যাইখা ফিররা হ্যাগো সইহ্য হয়না,আর সুখ দেহিয়েরে আবার  ইতারোর সহ্য নো অয়,আমার সুখ দেইক্ষা আবার তারার সহ্য হয়না,আর সুখ দেই হেতাগো আবার সইজ্জ অয় না,আমার সুখ দেখিয়া আবার ইতার সইহ্য ওয় না
বিয়ে করার পাঁচ বছর পর এখন আমি স্মার্ট হইসি,বিয়া করার পাছ বছর পর এহন মুই এস্মার্ট হইছি,বিয়া গরিবার  পাঁচ বছর ফর আই স্মার্ট অয়ই,বিয়া করনের পাঁচ বছর পর এহন আমি স্মার্ট হইসি,বিয়া করনের হাছ বছর হর আই অন স্মার্ট অইছি,বিয়া করার পাঁচ বছর বাদে ওখন আমি স্মার্ট ওইছি
প্রথম প্রথম বউ এর অনেক প্রশ্নের সঠিক উত্তর দিয়ে বিপদে পড়তাম,পরথোম পরথোম বউ এর ম্যালা প্রশ্নের ঠিক উত্তর দিয়া বিপদে পরতাম,ফ্রতম ফ্রতম বউ ওর বউত ফ্রশ্নের টিক উত্তর দিয়েরে বিফদত ফইত্তাম,প্রথম প্রথম বউ এর মেলা প্রশ্নের সঠিক উত্তর দিয়া বিপদে পড়তাম,প্রথম প্রথম বৌ এর মেলা প্রশ্নের ঠিক উত্তর দি বিপদে হইরতাম,ফয়লা ফয়লা বউ ওর বউত প্রশ্ন'র হাছা উত্তর দিয়া বিপদও পড়তাম
বিশাল ক্যাচাল লেগে যেতো,বিশাল কাইজ্জা লাইজ্ঞা যাইতে,বউত বউ কইজ্জা লাগি যাইতো,বিশাল ক্যাচাল লাইজ্ঞা যাইত,বিশাল ক্যাচাল লাগি যাইতো,খেচা ঝামেলা লাগতো
এরপর ঠিক করলাম তেল মারা উত্তর দিবো,হেইয়ারপর ঠিক করছেলাম ত্যাল মাইররা উত্তর দিমু,ফরদি টিক গইজ্জি দে তেল মারা উত্তর দিয়ুম,এরপর ঠিক করলাম তেল মারা উত্তর দিয়াম,এরহর তুন আই ঠিক কইরলাম তেল মারা উত্তর দিয়ুম,এরবাদে ঠিক করলাম তেল মারা উত্তর দিমু
এতে ও লাভ হলো না,হেইতেও লাভ হইলে না,ইবাতো লাভ নো অয়,এতে ও লাভ হইল না,এডাত ও কোনো লাব অয়নো,ইটায়ও লাভ ওইলো না
ক্যাচাল থামলো না,কাইজ্জা থামলে না,কইজ্জা নো তামে,ক্যাচাল থামলো না,ক্যাচাল থাইমলো না,ঝামেলা থামলো না
হালকা পাতলা লাভ হচ্ছে,হালকা পাতলা লাভ হইতেয়াছে,এক্কানা এক্কাণা লাভ অর,হালকা পাতলা লাভ হইতাসে,হালকা পাতলা লাব অয়,থুরা থুরি লাভ ওইরো
"বউ খাবার সময় বেশ হাসি মুখে বল্লো, রান্না কেমন হয়েছে?","বউ খাওনের কালে হাসি মুহে কইলো, রান্দা কেমন হইছে?","বউ খাইবার সমত হাসি কুশি মুখত কইয়ে, রান্না কেন অইয়ে","বউ খাওনের সময় বেশ হাসি মুখে কইল, রান্না কেমত হইসে?","বৌ খানের সময় বড্ডা এক্কান আসি দি কইলো, পাক কিরুম অইছে?","বউয়ে খানির সময় বাক্কা হাসি মুখে জিগাইলো, রান্না কিলা ওইছে?"
খাবারে আরেকটু রসুন দিলে বেশী মজা হতো,খাওনে আরেকটু রসুন দেলে বেমালা মজা হইতে,খাবারত আরেক্কানা রসুন দিলি বেশি মজা অইতো,খাওনে আরেকটু রসুন দিলে বেশী মজা হইত,খাওনের মইধ্যে রসুন আরেক্কানা বাড়াই দিলে খাওন বেশি স্বাদ অইলো ও,খানিত থুরা রসুন বাড়াইয়া দিলে আরো মজা ওইতো
খাবারে লবণ একটু কম হয়েছে,খাওনে নুন একটু কম হইছে,খাাবারত লবন এক্কানা খম অইয়ে,খাওনে লবণ একটু কম হইসে,খাওনে নুন কদ্দুর কম অইছে,খানিত লবণ থুরা কম ওইছে
তোমার খাওয়া লাগবে না,তোমার খাওন লাগবে না,তুয়ার খানা নো লাগিবো,তোমার খাওয়ন লাগব না,তোওর খানা লাইগদো নো,তুমিতাইন ওর খাওয়া লাগতো নায়
আমি তো আসলে কিছুই পারি না,মুই তো এক্কারে কিছুই পারি না,আই তো আসলে কিছু নো ফারি,আমি তো আসলে কিসুই পারি না,আই তো আসলে কিছুই হারি না,আমি তো আসলে কুন্তাউ পারি না
বউ এর চোখ ছলছল,বউ এর চক্ষু ভিজা,বউওর চোখ ইবা ছল ছল গরের,বউ এর চোখ ছলছল,বৌ এর চোখ কান ছলছল,বউ ওর চউখ ও পানি টুপটুপ
তুমি আমাকে আর কত অবাক করবা,তুমি মোরে আর কত অবাক করবা,তুই আরে আর কত অবাক গরিবা,তুমি আমারে আর কত অবাক করবা,তুই আরে আর কত অবাক কইরবা!,তুমি আমারে আর কত অবাক করতায়?
এক চামচ খেয়েই এতো কথা বলে দিলা,এক চামুছ খাইয়াই এতহানি কথা কইয়া দেলা!,এক চামচ খাইয়েরে এতো হতা খই দিয়ো দে,এক চামচ খায়াই এতো কথা কয়া দিলা,ওকগা চামুচ খানা খাই এ এতাগাইন কতা কই দিলা,এক চামচ খাইয়াউ ওতো মাত মাতিলাইলা
চাপাবাজি টা একটু কমাও,চাপামারা ডা এক্টুহানে কমাও,চাপাবাজি ইবা এক্কানা খমাও,চাপাবাজি ডা একটু কমাও,ফাফর বাজি এককানা কমাই কর,গফ থুরা কমাইয়া মারো
তুমি রেঁধেছো,তুমি রানছো?,তুঁই রাইদ্দো দে,তুমি রানসো,তুমি রাঁধছো,তুমি রানচো
আমি তো ভাবলাম শাশুড়ি আম্মা আমার জন্য রান্না করে পাঠিয়েছেন,মুই তো ভাবছেলাম হাউরি আম্মা মোর লইজ্ঞা রাইন্দা পাডাইছে,আই তো ভাইব্বি দে শাশুড়ি আম্মা আর লাই রাধিয়েরে ফাটাইয়ে,আমি তো ভাবলাম শাশুড়ি আম্মা আমার লাইজ্ঞা রাইন্দা পাঠাইসেন,আই তো মনে কইরছি শাশুড়ি আম্মা আর লাই রাঁধি হাডাইছে,আমি তো ভাবিয়ার হরি আম্মায় আমার লাগি রান্দিয়া পাঠাইছইন
তোমার রান্না তো পুরা আম্মার মতো,তোমার রান্দা তো এক্কারে আম্মার নাহান,তুয়ার রাঁদা তো ফুরা আম্মার নান,তোমার রান্না তো পুরা আম্মার মতো,তোআর রান্না তো হুরা আম্মার লাইন,তোমার রান্দা তো ফুরাউ আম্মার লাকান
"আরেক টু খাও, এক চামুচ দেই?","আর কয়ডা খাও, এক চামুছ দিমু?","আরেক্কানা খো, আরেক চামুচ দিয়ুম নে?","আরেক টু খাও, এক চামুচ দেই?","আরেক্কানা খাও, ওকগা চামুচ দি?","আর থুরা খাও, এক চামচ দিলাই?"
মেকআপ টা কেমন হইসে?,মেকাপ ডা কেমন হইছে?,মেকাপ ইবা কেন অইয়ে?,মেকআপ টা কেমন হইসে?,মেকআপ টা কিরুমনা অইছে?,মেকআপ কিলা ওইছে?
"একটু বেশী হয়ে গেসে, কম হলে আরো ভালো লাগতো","এট্টু বেশি হইয়া গ্যাছে, কম হইলে আরো ভালো লাগতে",এক্কাানা বেশী অই গিয়োয় খম হইলে আরেক্কানা গম ওইতো,"একটু বেশী হয়া গেসে, কম হইলে আরো ভালা লাগতো","এক্কানা বেশি অই গেছে, আরেক্কানা কম অইলে ভালা লাইগলো ও","থুরা বেশি ওই গেছে, কম ওইলে আরো ভালা লাগলো নে"
"বউ মেকআপ তুলতে তুলতে, যাবোই না আজ","বউ মেকাপ উডাইতে উডাইতে, যামুই না আইজগো","বউ মেকাপ তুলিতো তুলিতো ,নো যাইয়ুম আজিয়া","বউ মেকআপ তুলতে তুলতে, যামুই না আইজ","বৌ মেকআপ তুইলতে তুইলতে, যাইতাম এ নো আইজ","বউয়ে মেকআপ তুলিয়া তুলিয়া,যাইরাম ওউ না আইজ"
আমি তো মেকআপই দিতে পারি না,মুই তো মেকাপই দেতে পারি না,আই তো মেকাপি দির নো ফারি,আমি তো মেকআপই দিতাম পারি না,আই তো মেকআপই দিতাম হারি না,আমি তো মেকআপ ওউ দিতাম ফারি না
তুমি যাও একা একা,তুমি যাও এল্লাহ এল্লাহ,তুই একা একা যো গয়,তুমি যাও একলা একলা,তুমি যাও একলা একলা,তুমি ওউ যাও এখলা
পার্টি তে গিয়ে সুন্দরি দের সাথে ঢং করে আসো,পার্টি তে যাইয়া সুন্দুরি গো লগে ঢং কইররা আও,ফার্টিত গিয়েরে সুন্দরীর লাই ঢং গরি আইয়ো,পার্টি তে যায়া সুন্দরি দের সাথে ঢং কইরা আস,হার্টি তে যাই সুন্দরী গুনের লগে ঢং করি আইও,পার্টিত গিয়া সুন্দরী ওকলতোর লগে ফুংগামি করিয়া আও
কিভাবে এতো জোস মেকআপ করো,ক্যামনে এত্তো জোশ মেকাপ করো,কেনে এতো জোস গরি মেকাপ গড়ো,কিভাবে এতো জোস মেকআপ কর,কেন্নে করি এতো ভালা মেকআপ করো,কিলা ওতো জোস মেকআপ করো
না বুঝে বেশী কথা বলো কেন,না বুইজঝা বেশী কথা কও কির লইজ্ঞা,নো  বুঝিয়েরে এদুজ্ঞুন খতা কেনে কইত ফারো,না বুইজ্ঝা বেশী কথা কও কিল্লেগা,না বুঝি বেশি কথা কন কিল্লেই,আনা বুঝিয়া বেশি মাতো কেনে
"আমার দিকে তো আর তাকাও না, চোখ থাকে অন্য মেয়েদের দিকে","মোর দিক তো আর চাও না, চক্ষু থাহে অন্য মাইয়াগো দিক","এহন আর ইন্দি নো ওদ্দো চো,চোখ ইবা  তাকে  অন্য মাইয়াফুয়ার ইক্কা","আমার দিকে তো আর তাকাও না, চোখ থাকে অন্য মাইয়ারার দিকে!","আর দিকে তো আর রেনো না, রেনি থাও অন্য বেডিগোর দিকে","আমার দিকে তো আর চাও না, চউখ থাকে অইন্য ফুরিন্তোর ওবায়"
আমি বেশ কিছুক্ষন তাঁর মুখের দিকে তাকিয়ে থাকলাম,মুই মেলা সময় হ্যার মুহের দিক চাইয়া ছেলাম,আই বউতকন ইতার মুহত ইক্কা চাই থাক্কিলাম,আমি বেশ কিসুক্ষন তাঁর মুহের দিকে তাকায়া থাকলাম,আই অনেকক্ষণ যাবত হেতির মুখের দিকে রেনি রইলাম,আমি বাক্কা সময় তাঁর মুখ ওর দিকে চাই রইলাম
তুমি এতো কিছু বুঝো কিভাবে,তুমি এত্তো কিছু বোঝো ক্যামনে?,তুই এদুন কেনে বুঝোস?,তুমি এতো কিসু বুঝো কেমনে,তুমি এতো কিছুন বুঝো কেন্নে,তুমিতাইন ওতোতা বুঝো কিলা
শাড়িটা আমাকে কেমন মানিয়েছে,কাপুড়ডা মোরে কেমন মানাইছে?,শাড়ি ইবা আরে কেন মানাইয়ে,শাড়িডা আমারে কেমন মানাইসে,শাড়িটা আরে কিরুম মানাইছে?,শাড়িটায় আমারে কিলা লাগের
সবুজ শাড়িটা পড়লে দারুন লাগতো,সবুজ কাপুড়ডা পরলে দারুন লাগতে,সবুজ শাড়ী ফরিলে বেশী গম লাগিতো,সবুজ শাড়িডা পড়লে দারুন লাগত,সবুজ শাড়িটা হইরলে দারুণ লাইগতো,সবুজ রঙ ওর শাড়ি ওগু পড়লে সুন্দর লাগতো
সবুজ শাড়ি কি তোমার এক্স কোনো গার্লফ্রেন্ডের পছন্দের রঙ,সবুজ কাপুড় কি তোমার আগের গার্লফেরেন্ডের পিরিয়ো রঙ?,সবু্জ শাড়ি কি তুয়ার আগের হোনো বেডিবন্ধু ফছন্দের রঙ,সবুজ শাড়ি কি তোমার এক্স কোনো গার্লফ্রেন্ডের পসন্দের রঙ,সবুজ শাড়ি কি তোমার এক্স কোনো গার্লফ্রেন্ডের হছন্দের রঙ?,সবুজ রঙ ওর শাড়ি কিতা তোমার এক্স কোনো বান্ধোবীর পছন্দ আছিল নি?
"এই সব তেল আমাকে দিবা না, বিরক্ত লাগে","এই রহম ত্যাল মোরে দেবা না, বিরক্ত লাগে","এরিম্মা ফাম আরে নো দিস, গম নো লাগে","এই সব তেল আমারে দিবা না, বিরক্ত লাগে",এই সব পাম্প আরে দিও না বিরক্ত লাগে,ইতা তেল আমারে মারিও না! অসইহ্য লাগে
"মাথায় রেখো, বিয়ে বাড়িতে যাচ্ছো","মাথায় রাইক্ষো, বিয়া বাড়ি যাইতেয়াছো","মাথাত রাহিস,বিয়াত বাড়ি যর","মাথায় রাইক্ষো, বিয়া বাড়িত যাইতাসো","মাথায় রাইখো, বিয়া বাড়িত যাইতাছো","মনো রাখিও, বিয়া বাড়িত যাইরায়"
বউ এর চেয়ে তোমাকে বেশী সুন্দর লাগলে কিন্তু সমস্যা,বউ এর চাইয়া তোমারে ম্যালা সুন্দর লাগ্লে কোলো সমেস্যা,বউত তুন তুয়ায়রে বেশী সুন্দর লাগিলে কিন্তু সমস্যা,বউ এর চেয়ে তোমারে বেশী সুন্দর লাগলে কিন্তু সমস্যা,বৌ এর তুন তোয়ারে বেশী সুন্দর লাইগলে কিন্তু সমইস্যা,বউ ওর তাকি তুমিতাইনরে বেশি সুন্দর লাগলে তো সমস্যা
বিবাহিত জীবনে সুখে থাকুন,বিয়াইত্যা জীবনে সুখে থাহেন,বিবাহিত জীবনত সুখোত তাইক্কো,বিবাহিত জীবনে সুখে থাহেন,বিবাহিত জীবনে সুখে থান,সংসার জীবন্ব ভালা থাকোউকা
আমার স্বামী মদ খায় রাতের পর রাত বন্ধুদের সাথে আড্ডা দেয়,মোর জামাই মদ খায় রাইতের পর রাইত দোস্তগো লগে আড্ডা দেয়,আর  স্বামী মদ খাইয়েরে ফ্রতি রাতোত আড্ডা দে,আমার জামাই মদ খায় রাতের পর রাত বন্ধুরার সাথে আড্ডা দেয়,আর হাই মদ খায় রাইতের পর রাইত বন্ধুগো লগে আড্ডা দেয়,আমার জামাইয়ে মদ খাইয়া রাইত ওর পর রাইত বন্ধু ইতাইন্তোর লগে আড্ডা মারে
আমি এটা স্বাভাবিকভাবে নিয়েছিলাম,মুই এইডা স্বাভাবিকভাইব্বা নেল্লাম,আই ইবার এনে লইল্লাম দে,আমি এইডা স্বাভাবিকভাবে নিসিলাম,আই এটা স্বাভাবিক ভাবেই লইছিলাম,আমি ইগুরে একবারে স্বাভাবিক ওউ লইছলাম
আমার কাছে ধরা পড়ার পরেও স্বীকার না করে উল্টা আমার গায়ে হাত তুলে,মোর ধারে ধরা খাইয়াও স্বীকার না কইররা মোর গায়ে হাত তোলে,আর হাছে দরা ফরিবার ফরেও জবান নো দিয়েরে উল্ডা আর গায়োত আত তুলে,আমার কাছে ধরা পড়ার পরেও স্বীকার না করে উল্টা আমার গায়ে হাত তুলে,আর কাছে ধরা হরনের হর ও স্বীকার না করি উল্টা আর গাত আত উডায়,আমার ওনো ধরা খাওয়া বাদেও হাছা না মাতিয়া আবার আমার গাত হাত তুলে
এখন তাকে আর ছাড় দেওয়া যাবে না,এহন হ্যারে আর ছাইররা দেওন যাইবে না,এহন ইতারে আর ছাড় দিয়া নো জাইবো,এখন তারে আর ছাড় দেওয়ন যাইব না,অন আর হেতেরে ছাড় দেওন যাইতো ন,ওখন আর হেরে ছাড় দেওন যাইতো নায়
যে মানুষ গায়ে হাত তোলে অন্য মেয়েদের সাথে কথা বলে ঘরে বউ রেখে,যে মানু গায়ে হাত তোলে অন্য মাইয়াগো লগে কথা কয় ঘরে বউ থুইয়া,যে মানুষ বেডি ওক্কলের গাত হাত দিয়েরে হতা হো গরত বউ রাহিয়েরে,যে মানুষ গায়ে হাত তুলে অন্য মাইয়ারার সাথে কথা কয় ঘরে বউ রাইক্ষা।,যে মানুষ গাত আত উডায় অন্য বেডি গো লগে কতা কয় ঘরে বৌ রাই,যেগুয়ে গাত হাত তুলিয়া অন্য ফুরিন্তোর লগে মাতে ঘরও বউ রাখিয়া
এমন পুরুষদের সাথে সংসার যায় না,এরহম ব্যাডার লগে সংসার যায় না,এরিিম্মা ফুরুসের লাই গর গরা নো যা,এমন বেডারার লগে সংসার যায় না,এরুমনা বেডা গো লগে সংসার করন যায় না,ওলা বেটাইন্তোর লগে সংসার করা যায় না
কোন মানুষের প্রতি একবার বিশ্বাস উঠে গেলে অভিনয় করে বেশি দিন সেখানে থাকা যায় না,কোন মাইনষের উপরেগোনে একবার বিশ্বাস উইঠঠা গ্যালে অভিনয় কইররা ম্যালা দিন হেইহানে থাহা যায় না,হোন মানুষের ফ্রতি এব্বার বিশ্বাস উডি গেলে গয় অবিনয় গরি বেশি তাকা নো যায়,কোন মানুষের প্রতি একবার বিশ্বাস উইঠঠা গেলে অভিনয় কইরা বেশি দিন অইহানে থাকন যায় না,কোন মাইনষের প্রতি একবার বিশ্বাস উডি গেলে অভিনয় করি বেশিদিন হিয়ানে থান যায় না,কোন মাইনষের উফ্রে একবার বিশ্বাস উঠি গেলে ওনো নাটক করিয়া আর বেশি দিন থাকা যায় না
আর সহ্য না করতে পেরে আপনাদের কাছে সঠিক পরার্মশ চাচ্ছি,আর সইতে না পাইররা আমনেগো ধারে সঠিক পরামর্শ চাইতেয়াছি,আর সহ্য গরিত নো ফারি ওনরের কাছে সঠিক পরামর্শ চাইর,আর সহ্য না করতে পাইরা আফনেরার কাসে সঠিক পরার্মশ চাইতাসি,আর সইহ্য কইরতাম না হারি আন্নেগো কাছে সঠিক হরামর্শ চাইতেছি,আর সইহ্য না করতে পারিয়া ওখন আফনারার ধারো ভালা উপায় চাইরাম
আমার বাবা পুলিশে আছেন তো মায়ের সাথে বিয়ের পর থেকেই তিনি পরকীয়ায় আসক্ত ছিলেন,মোর বাফে পুলিশে আছেন তয় মায়ের লগে বিয়ার পরে গোনেই হ্যায় পরকীয়ায় আসক্ত আল্লেন,আর বাবা ফুলিশত আছে তো মায়র ফুয়াতি বিয়ার ফর তুন ইবা পরকীয়াত আসক্ত আছিল,আমার আব্বা পুলিশে আসেন তো আম্মার সাথে বিয়ার পর থাইক্কাই হেয় পরকীয়ায় আসক্ত আসিলেন,আর আব্বা হুলিশে আছেন তো মার লগে বিয়ার হর তুনই হেতে হরকিয়ায় আসক্ত আছিলেন,আমার বাবা পুলিশও আছোইন তো মা'র লগে বিয়ার বাদে তাকি ওউ তাইনও পরকীয়াত মগ্ন আছলা
আম্মু অনেক সহ্য করে এতো বছর সংসার করে গেছেন,মায় ম্যালা সইয়া এত্তো বছর সংসার কইররা গ্যাছে,আম্মু বত সহ্য গরি এতো সংসয়ার গরি গিয়য়,আম্মা অনেক সহ্য কইরা এতো বছর সংসার কইরা গেসেন,মা অনেক সইহ্য করি এতাগাইন বছর সংসার করি গেছেন,আম্মায় বউত সইহ্য করিয়া ওতো বছর সংসার করিয়া গেছোইন
এর মধ্যে অনেক সময় ভালো হয়ে যেত আবার খারাপ হয়ে যেত,এইয়ার মইধ্যে অনেক কালে ভালো হইয়া যাইতে আবার খারাপ হইয়া যাইতে,এর মাঝোত বত সময় বালো অইয়েরে যাইতো আব্র খারাপ অইয়ে যাইতো,এর মধ্যে অনেক সময় ভালা হয়া যাইত আবার খারাপ হয়া যাইত,এর মইধ্যে অনেক সময় ভালা অই যাইতো আবার খারাপ অই যাইতো,এর মাঝে বউত সময় ভালা ওইতো আবার খারাপ ওই যাইতো
শেষ বয়সে এসে সে এখন এমন একটা জঘন্য কাজ করলো,শ্যাষ বয়সেরকালে আইয়া হ্যায় এরহম এউক্কা জঘইন্য কাম করছে,শেষ বয়সত আইয়েরে অতে এহন এন এইজ্ঞো জঘন্য হাম গইজ্জে,শেষ বয়সে আইসা হেয় এহন এমন একটা জঘন্য কাম করল,শেষ বয়সে আই হেতে অন এমন এককান জঘন্য কাম কইরলো,শেষ বয়সও আইয়া হে ওখন ওলা একটা বাদ কাজ করলো
সে ২য় বিয়ে করছে একটা বিবাহিত মহিলাকে,হ্যায় দুইনাম্বার বিয়া করছে এইক্কা বিয়াইত্যা মাতারিরে,ইতে দু নাম্বার  বিয়া গইজ্জে এইজ্ঞো বিয়াইত্তা বেডিরে,হেয় ২য় বিয়া করসে একটা বিবাহিত বেডিরে,হেতে দ্বিতীয় বিয়া কইছে ওকগা বিবাহিত মহিলারে,হে দুই নাম্বার বিয়া করছে একগু বিয়াইত্তা বেটিরে
সে দ্বিতীয় বিয়ে করে শান্তি পায় নি,হ্যায় দুইনাম্বার বিয়া কইররা শান্তি পায় নাই,ইতে দু নাম্বার বিয়া গরি শান্তি নো ফাই,হেয় দ্বিতীয় বিয়া কইরা শান্তি পায় নাই,হেতে দ্বিতীয় বিয়া করি শান্তি হায় নো,হে দুই নাম্বার বিয়া করিয়া শান্তি পাইছে না
বাবার কাছে আমার মায়ের নামে অনেক উল্টা পল্টা কথা বলে,বাফের ধারে মোর মায়ের নামে ম্যালা আউল ফাউল কথা কয়,বাবার হাছে আর মায়োর নামোত বউত উল্ডা ফাল্ডা হতা কইয়্যে,আব্বার কাসে আমার আম্মার নামে অনেক উল্টা পল্টা কথা কয়,আব্বার কাছে আর মার নামে অনেক উল্টা পাল্টা কথা কয়,বাবার ধারো আমার মা'র নামে বউত আউল ফাউল মাত মাতে
আমি একটা পাবলিক বিশ্ববিদ্যায়ের পড়াশোনা করছি,মুই এউক্কা পাবলিক বিশ্ববিদ্যায়ে পড়ালেহা করতেয়াছি,আই একজ্ঞো ফাবলিক বিশ্ববিদ্যালয়ত ফন্না ফরির,আমি একটা পাবলিক বিশ্ববিদ্যায়ের পড়াশুনা করতাসি,আই ওকগা পাবলিক বিশ্ববিদ্যালয়ে হড়াশোনা কইরছি,আমি একটা পাবলিক বিশ্ববিদ্যালয়ও পড়িয়ার
সে এখন আমার পড়াশোনার খরচ দিতে চায় না,হ্যায় এহন মোর পড়ালেহার খরচ দেতে চায় না,ইতে এহন আর ফন্না হরচ দিতোর নো চায়,হেয় এহন আমার পড়াশুনার খরচ দিতে চায় না,হেতে অন আর হড়াশোনার খরচ দিতে চায় না,হে ওখন আমার পড়ার খরচ দিতো চায় না
ঐ মহিলা আর সে মিলে আমাকে গালিগালাজ করতে থাকে,হেই মাতারি আর হ্যায় মিল্লা মোরে খামরাখামরি করতে থাহে,ঐ বেডীর ওদ্দে ইতে মিলি আরে গালাগালি গরার তাকে,ঐ মহিলা আর হেয় মিল্লা আমারে গালিগালাজ করতে থাহে,ঐ বেডি আর হেতে মিলি আরে গালিগালাজ কইরতে থায়,হউ বেটি আর হে মিলিয়া আমারে গালাগালি করতে থাকে
আমি তোর পড়াশোনার কোনো খরচ দিবো না,মুই হ্যার পড়ালেহার কোন খরচ দিমু না,আই তোর ফন্নার হরচ নো দিয়ুম,আমি তর পড়াশুনার কোন খরচ দিতাম না,আই তোর হড়াশোনার কোনো খরচ দিতান ন,আমি তোর পড়ার কোন খরচ দিতাম নায়
আমাকে দয়া করে সঠিক পরার্মশ দিয়ে একটু সাহায্য করুন,মোরে দয়া কইররা সঠিক পরামর্শ দিয়া এট্টু সাহাইয্য করেন,আরে দয়া গরি টিক ফরামর্শ দিয়েরে এক্কানা সাহায্য গরো,আমারে দয়া কইরা সঠিক পরার্মশ দিয়া একটু সাহায্য করেন,আরে দয়া করি সঠিক হরার্মশ দি এককানা সাহায্য করেন,আমারে দয়া করিয়া ভালা উপায় দেখাইয়া সাহায্য করোইন
আমি কী করতে পারি?,মুই কি করতে পারি?,আই কি গরিত ফারি?,আমি কিতা করতাম পারি?,আই কী কইরতাম হারি?,আমি কিতা করতাম পারি?
২৮ বছর ধরে আমার মা কষ্ট করে গেছেন,আডাইশ বছর ধইররা মোর মায় কষ্ট কইররা গ্যাছে,২৮ বছর দরি আর মা কষ্ট গরি গিয়োয়,২৮ বছর ধইরা আমার আম্মা কষ্ট কইরা গেসেন,২৮ বছর ধরি আর মা কষ্ট করি গেছেন,২৮ বছর ধরিয়া আমার মা'য় কষ্ট করিয়া গেছোইন
